"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","SMS","0","GET /v1/sms/health","1","0","Schema — latencyMs is non-negative","0"
"0","Common","0","Rate Limiting","1","0","Successful response — no quota exhaustion","0"
"0","Weather","0","GET /v1/insights","1","0","200 or 403","0"
"0","Webhooks","0","POST /v1/webhooks","1","0","Revoked token returns 401","0"
"0","Webhooks","0","GET /v1/webhooks","1","0","Schema — webhooks array present","0"
"0","SMS","0","GET /v1/sms/stats","1","0","Revoked token returns 401","0"
"0","SMS","0","GET /v1/sms/health","1","0","503 not returned under normal conditions","0"
"0","Webhooks","0","GET /v1/webhooks","1","0","Schema — first webhook has url","0"
"0","SMS","0","POST /v1/sms/send","1","0","No auth returns 401","0"
"0","Forestry","0","GET /v1/trees/quota","1","0","Unauthenticated returns 401","0"
"0","Common","0","Error Handling","1","0","400 — response body","0"
"0","Weather","0","GET /v1/weather","1","0","Revoked token → 401","0"
"0","Weather","0","GET /v1/weather","1","0","units=metric echoed","0"
"0","Weather","0","GET /v1/weather","1","0","Invalid coords → 400 or 502","0"
"0","SMS","0","POST /v1/sms/bomet/register","1","0","Response is JSON","0"
"0","SMS","0","GET /v1/sms/stats","1","0","Schema — delivery stats: delivered is non-negative","0"
"0","Weather","0","GET /v1/ip-lookup","1","0","Valid IP — 200 or 403","0"
"0","SMS","0","POST /v1/sms/bomet/register","1","0","Invalid phone returns 400","0"
"0","SMS","0","POST /v1/sms/bomet/register","1","0","Missing 'name' returns 400","0"
"0","Weather","0","GET /v1/forecast","1","0","Body non-empty","0"
"0","Weather","0","GET /v1/weather","1","0","lon echoed","0"
"0","Account","0","GET /v1/usage","1","0","Schema — unlimited field","0"
"0","Common","0","Error Handling","1","0","403 — response body","0"
"0","SMS","0","POST /v1/sms/bomet/register","1","0","Scale or 403 — full payload","0"
"0","Weather","0","GET /v1/weather — Schema","1","0","days=3 — lon echoed","0"
"0","Forestry","0","GET /v1/trees/quota","1","0","Quota response is JSON","0"
"0","Weather","0","GET /v1/ip-lookup","1","0","Invalid IP → 400","0"
"0","Forestry","0","POST /v1/trees/analyze","1","0","PRO+ analyze or Free 403","0"
"0","SMS","0","POST /v1/sms/send","1","0","Invalid 'to' phone returns 400","0"
"0","Weather","0","GET /v1/weather — Schema","1","0","days=7 — current.windspeed >= 0","0"
"0","Weather","0","GET /v1/weather — Schema","1","0","days=3 — all daily dates non-blank","0"
"0","SMS","0","POST /v1/sms/send","1","0","With optional fields","0"
"0","Weather","0","GET /v1/weather — Schema","1","0","days=3 — units","0"
"0","Weather","0","GET /v1/weather — Schema","1","0","days=3 — temp_max > temp_min","0"
"0","SMS","0","POST /v1/sms/alert","3","0","All alertType values accepted","0"
"0","SMS","0","GET /v1/sms/stats","1","0","No 5xx under normal conditions","0"
"0","Common","0","Error Handling","1","0","401 — response body","0"
"0","Weather","0","GET /v1/weather","1","0","days=1","0"
"0","Webhooks","0","POST /v1/webhooks","1","0","Missing triggers returns 400","0"
"0","Webhooks","0","POST /v1/webhooks","1","0","Schema — url echoed on 201","0"
"0","Webhooks","0","DEL /v1/webhooks/:id","1","0","Revoked token returns 401","0"
"0","SMS","0","GET /v1/sms/stats","1","0","Schema — delivery stats: failed is non-negative","0"
"0","Webhooks","0","GET /v1/webhooks","1","0","PRO+ list or Free 403","0"
"0","Weather","0","GET /v1/weather-geo","1","0","geo.timezone non-blank","0"
"0","Weather","0","GET /v1/weather","1","0","Missing lon → 400","0"
"0","Webhooks","0","GET /v1/webhooks","1","0","No auth returns 401","0"
"0","SMS","0","GET /v1/sms/health","1","0","Schema — gateway status","0"
"0","SMS","0","GET /v1/sms/health","1","0","Revoked token returns 401","0"
"0","Weather","0","GET /v1/weather — Schema","1","0","days=7 — current.is_day","0"
"0","Account","0","GET /v1/usage","1","0","Logic — free plan limit is 1000","0"
"0","SMS","0","POST /v1/sms/alert","1","0","Scale or 403 — rain alert","0"
"0","Weather","0","GET /v1/current","1","0","JSON body","0"
"0","Weather","0","GET /v1/ip-lookup","1","0","Schema — geo object","0"
"0","Account","0","GET /v1/usage","1","0","No 5xx on valid request","0"
"0","Forestry","0","POST /v1/trees/analyze","1","0","Missing image returns 400","0"
"0","SMS","0","POST /v1/sms/send","1","0","Scale plan or 403","0"
"0","Webhooks","0","POST /v1/webhooks","1","0","No auth returns 401","0"
"0","Common","0","Rate Limiting","1","0","Usage endpoint confirms quota","0"
"0","Common","0","Authorization","1","0","Plan gate — webhooks","0"
"0","SMS","0","GET /v1/sms/health","1","0","Schema — lastCheck is ISO-8601 timestamp","0"
"0","SMS","0","POST /v1/sms/alert","1","0","Missing 'alertType' returns 400","0"
"0","SMS","0","POST /v1/sms/send","1","0","Response is JSON","0"
"0","Account","0","GET /v1/usage","1","0","Response is JSON","0"
"0","Weather","0","GET /v1/weather","1","0","Non-empty body","0"
"0","Common","0","Validation","1","0","Missing lat and lon","0"
"0","SMS","0","GET /v1/sms/stats","1","0","Scale or 403","0"
"0","Common","0","Validation","1","0","Invalid coordinates","0"
"0","SMS","0","POST /v1/sms/alert","1","0","With optional data object","0"
"0","Weather","0","GET /v1/ip-lookup","1","0","Schema — geo.country 2-letter","0"
"0","Account","0","GET /v1/usage","1","0","200 happy path","0"
"0","Webhooks","0","GET /v1/webhooks","1","0","Response is JSON","0"
"0","Webhooks","0","GET /v1/webhooks","1","0","Schema — first webhook triggers is array","0"
"0","Weather","0","GET /v1/weather-geo","1","0","geo object present","0"
"0","Weather","0","GET /v1/weather — Schema","1","0","days=7 — current.weathercode >= 0","0"
"0","Account","0","GET /v1/usage","1","0","Schema — limit field","0"
"0","Weather","0","GET /v1/weather","1","0","current.time","0"
"0","Webhooks","0","POST /v1/webhooks","1","0","Schema — triggers echoed on 201","0"
"0","SMS","0","POST /v1/sms/alert","1","0","Empty payload returns 400","0"
"0","Weather","0","GET /v1/weather","1","0","current.windspeed","0"
"0","Webhooks","0","POST /v1/webhooks","1","0","Empty triggers array returns 400","0"
"0","Common","0","Rate Limiting","1","0","Rate limit headers — X-RateLimit-Limit","0"
"0","Weather","0","GET /v1/weather — Schema","1","0","days=3 — ai_summary null","0"
"0","SMS","0","POST /v1/sms/bomet/register","1","0","No auth returns 401","0"
"0","Weather","0","GET /v1/weather-geo","1","0","current and geo coexist","0"
"0","SMS","0","POST /v1/sms/alert","1","0","No auth returns 401","0"
"0","Weather","0","GET /v1/insights","1","0","Revoked token → 401","0"
"0","Weather","0","GET /v1/weather — Schema","1","0","days=7 — precipitation >= 0","0"
"0","Weather","0","GET /v1/weather","1","0","daily[0].date","0"
"0","Weather","0","GET /v1/ip-lookup","1","0","Schema — geo coordinates valid","0"
"0","SMS","0","GET /v1/sms/health","1","0","Schema — fallback status","0"
"0","Weather","0","GET /v1/weather","1","0","daily present","0"
"0","SMS","0","GET /v1/sms/stats","1","0","No auth returns 401","0"
"0","Weather","0","GET /v1/weather","1","0","lang=sw","0"
"0","Weather","0","GET /v1/weather-geo","1","0","geo.ip non-blank","0"
"0","SMS","0","POST /v1/sms/send","1","0","Without optional type field","0"
"0","Weather","0","GET /v1/weather — Schema","1","0","days=7 — days","0"
"0","SMS","0","GET /v1/sms/health","1","0","Response is JSON","0"
"0","SMS","0","GET /v1/sms/health","1","0","Schema — gateway is 'ok' when healthy","0"
"0","Common","0","Validation","1","0","Invalid units — lenient","0"
"0","Weather","0","GET /v1/weather","1","0","No auth → 401","0"
"0","Weather","0","GET /v1/weather","1","0","current present","0"
"0","Common","0","Authorization","1","0","Auth vs authz distinction","0"
"0","Common","0","Authorization","1","0","Plan gate — forecast14","0"
"0","Weather","0","GET /v1/daily","1","0","200 default","0"
"0","Common","0","Error Handling","1","0","429 — remaining count is non-negative","0"
"0","Weather","0","GET /v1/daily","1","0","days=7 free plan max","0"
"0","Webhooks","0","POST /v1/webhooks","1","0","Missing url returns 400","0"
"0","Weather","0","GET /v1/hourly","1","0","JSON","0"
"0","SMS","0","GET /v1/sms/stats","1","0","Schema — delivery counts are consistent","0"
"0","Account","0","GET /v1/usage","1","0","Logic — unlimited flag false on free plan","0"
"0","SMS","0","GET /v1/sms/stats","1","0","Schema — opt-out rate is non-negative","0"
"0","Common","0","Rate Limiting","1","0","Rate limit headers — X-RateLimit-Remaining","0"
"0","Weather","0","GET /v1/ip-lookup","1","0","ip=auto","0"
"0","Common","0","Authentication","1","0","Malformed token","0"
"0","Account","0","GET /v1/usage","1","0","Logic — used + remaining = limit (or overage)","0"
"0","Webhooks","0","POST /v1/webhooks","1","0","Schema — createdAt is non-blank on 201","0"
"0","Weather","0","GET /v1/weather — Schema","1","0","days=3 — daily has 3 entries","0"
"0","Webhooks","0","DEL /v1/webhooks/:id","1","0","No auth returns 401","0"
"0","Weather","0","GET /v1/forecast14","1","0","200 or 403","0"
"0","Weather","0","GET /v1/weather — Schema","1","0","days=7 — daily[0].date","0"
"0","Weather","0","GET /v1/weather","1","0","Mombasa","0"
"0","SMS","0","GET /v1/sms/stats","1","0","Response body non-empty","0"
"0","Webhooks","0","GET /v1/webhooks","1","0","Schema — first webhook timezone is non-blank","0"
"0","Weather","0","GET /v1/weather-geo","1","0","geo.is_datacenter boolean","0"
"0","SMS","0","POST /v1/sms/bomet/register","1","0","Scale or 403 — minimal payload","0"
"0","Common","0","Validation","1","0","Missing lat","0"
"0","Webhooks","0","POST /v1/webhooks","1","0","PRO+ create or Free 403","0"
"0","Weather","0","GET /v1/weather","1","0","current.winddirection","0"
"0","Webhooks","0","POST /v1/webhooks","1","0","No 5xx on valid request","0"
"0","Forestry","0","GET /v1/trees/quota","1","0","PRO+ or Free 403","0"
"0","Weather","0","GET /v1/weather-geo","1","0","geo.city non-blank","0"
"0","Weather","0","GET /v1/weather — Schema","1","0","days=3 — hourly[0].time","0"
"0","Weather","0","GET /v1/current","1","0","200","0"
"0","Weather","0","GET /v1/weather","1","0","No 5xx","0"
"0","Weather","0","GET /v1/weather","1","0","Missing both → 400","0"
"0","Weather","0","GET /v1/hourly","1","0","200","0"
"0","Weather","0","GET /v1/weather-geo","1","0","JSON","0"
"0","Account","0","GET /v1/usage","1","0","Schema — used field","0"
"0","SMS","0","GET /v1/sms/health","1","0","No auth returns 401","0"
"0","SMS","0","POST /v1/sms/alert","1","0","No 5xx on valid request","0"
"0","Weather","0","GET /v1/weather — Schema","1","0","days=7 — temp_max > temp_min","0"
"0","Account","0","GET /v1/usage","1","0","Logic — used does not exceed limit (overage allowed)","0"
"0","Weather","0","GET /v1/weather","1","0","Missing lat → 400","0"
"0","Weather","0","GET /v1/weather — Schema","1","0","days=7 — current.interval = 900","0"
"0","Weather","0","GET /v1/hourly","1","0","Mombasa","0"
"0","SMS","0","POST /v1/sms/alert","1","0","Missing 'to' returns 400","0"
"0","Weather","0","GET /v1/weather-geo","1","0","geo.lon range","0"
"0","Weather","0","GET /v1/ip-lookup","1","0","Loopback IP → 400","0"
"0","Weather","0","GET /v1/forecast","1","0","200","0"
"0","Weather","0","GET /v1/weather","1","0","current.is_day","0"
"0","Weather","0","GET /v1/weather","1","0","Status 200","0"
"0","Webhooks","0","DEL /v1/webhooks/:id","1","0","Non-existent ID","0"
"0","Weather","0","GET /v1/weather — Schema","1","0","days=7 — current.winddirection 0–360","0"
"0","Weather","0","GET /v1/weather — Schema","1","0","days=3 — lat echoed","0"
"0","Forestry","0","POST /v1/trees/analyze","1","0","Invalid token returns 401","0"
"0","SMS","0","POST /v1/sms/send","1","0","Revoked token returns 401","0"
"0","SMS","0","GET /v1/sms/stats","1","0","Response is JSON","0"
"0","Common","0","Authentication","1","0","Empty token","0"
"0","Weather","0","GET /v1/weather — Schema","1","0","days=7 — hourly non-empty","0"
"0","Common","0","Authorization","1","0","Plan gate — insights","0"
"0","Common","0","Error Handling","1","0","500/503 — not returned on valid request","0"
"0","Forestry","0","POST /v1/trees/analyze","1","0","Unauthenticated returns 401","0"
"0","Weather","0","GET /v1/weather-geo","1","0","Explicit coords","0"
"0","SMS","0","POST /v1/sms/alert","1","0","Invalid 'to' phone returns 400","0"
"0","Weather","0","GET /v1/weather-geo","1","0","geo.lat range","0"
"0","Weather","0","GET /v1/forecast","1","0","JSON","0"
"0","Common","0","Error Handling","1","0","500/503 — not returned on valid usage request","0"
"0","SMS","0","POST /v1/sms/alert","1","0","Response is JSON","0"
"0","Weather","0","GET /v1/weather","1","0","400 body is JSON","0"
"0","Common","0","Error Handling","1","0","429 — rate-limit header present","0"
"0","Weather","0","GET /v1/weather","1","0","current.weathercode","0"
"0","Common","0","Validation","1","0","days=0 — lenient","0"
"0","Account","0","GET /v1/usage","1","0","Response body not empty","0"
"0","Weather","0","GET /v1/weather — Schema","1","0","days=3 — hourly non-empty","0"
"0","Common","0","Error Handling","1","0","400 — content type","0"
"0","Weather","0","GET /v1/weather","1","0","current.interval","0"
"0","Weather","0","GET /v1/forecast14","1","0","Revoked token → 401","0"
"0","Weather","0","GET /v1/weather — Schema","1","0","days=7 — hourly[0].time","0"
"0","Weather","0","GET /v1/weather","1","0","daily length","0"
"0","Weather","0","GET /v1/weather — Schema","1","0","days=7 — units","0"
"0","Weather","0","GET /v1/weather","1","0","current.temperature","0"
"0","SMS","0","POST /v1/sms/bomet/register","1","0","Schema — response body non-blank on 201","0"
"0","Webhooks","0","GET /v1/webhooks","1","0","Schema — first webhook createdAt is non-blank","0"
"0","Common","0","Authentication","1","0","Valid authentication","0"
"0","Weather","0","GET /v1/weather","1","0","days=7","0"
"0","Weather","0","GET /v1/weather — Schema","1","0","days=7 — ai_summary null","0"
"0","SMS","0","POST /v1/sms/bomet/register","1","0","Revoked token returns 401","0"
"0","Forestry","0","GET /v1/trees/quota","1","0","Tree history is JSON","0"
"0","SMS","0","POST /v1/sms/alert","1","0","Revoked token returns 401","0"
"0","SMS","0","POST /v1/sms/bomet/register","1","0","Empty payload returns 400","0"
"0","Weather","0","GET /v1/ip-lookup","1","0","Missing ip → 400","0"
"0","Common","0","Validation","1","0","days=17 — lenient","0"
"0","Weather","0","GET /v1/ip-lookup","1","0","Schema — geo.timezone non-blank","0"
"0","Webhooks","0","POST /v1/webhooks","1","0","Schema — lat and lon echoed on 201","0"
"0","SMS","0","POST /v1/sms/alert","1","0","Invalid alertType returns 400","0"
"0","SMS","0","GET /v1/sms/stats","1","0","Schema — gateway usage present","0"
"0","Webhooks","0","GET /v1/webhooks","1","0","Schema — first webhook active is boolean","0"
"0","SMS","0","POST /v1/sms/send","1","0","Missing 'message' returns 400","0"
"0","SMS","0","POST /v1/sms/send","1","0","No 5xx on valid request","0"
"0","Common","0","Validation","1","0","Missing lon","0"
"0","Webhooks","0","POST /v1/webhooks","1","0","Response is JSON","0"
"0","SMS","0","GET /v1/sms/stats","1","0","Schema — message counts by type present","0"
"0","Common","0","Authorization","1","0","Plan gate — SMS send","0"
"0","Forestry","0","POST /v1/trees/analyze","1","0","Legacy alias returns same status","0"
"0","Account","0","GET /v1/usage","1","0","Revoked token returns 401","0"
"0","Forestry","0","GET /v1/trees/quota","1","0","Tree history","0"
"0","Common","0","Error Handling","1","0","401 — content type","0"
"0","SMS","0","POST /v1/sms/bomet/register","1","0","No 5xx on valid request","0"
"0","Forestry","0","GET /v1/trees/quota","1","0","Invalid token returns 401","0"
"0","Account","0","GET /v1/usage","1","0","Schema — remaining field","0"
"0","Account","0","GET /v1/usage","1","0","Schema — plan field","0"
"0","SMS","0","POST /v1/sms/bomet/register","1","0","Missing 'phone' returns 400","0"
"0","Weather","0","GET /v1/ip-lookup","1","0","Schema — ip non-blank","0"
"0","Weather","0","GET /v1/weather-geo","1","0","geo.ip_version","0"
"0","Common","0","Authentication","1","0","401 error body","0"
"0","Weather","0","GET /v1/weather — Schema","1","0","days=3 — interval=900","0"
"0","Webhooks","0","GET /v1/webhooks","1","0","Revoked token returns 401","0"
