"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Missing lat/lon returns 400 on Pro/Scale, 403 on Free","139","forecast14 missing coordinates returns 400 or 403","","Thu Aug 20 16:36:26 UTC 2026","passed","Thu Aug 20 16:36:26 UTC 2026","","GET /v1/forecast14 Tests","weather.GetForecast14Tests","missingCoords_returns400Or403"
"Response content-type must be application/json","127","ip-lookup response is application/json","","Thu Aug 20 16:36:13 UTC 2026","passed","Thu Aug 20 16:36:13 UTC 2026","","GET /v1/ip-lookup Tests","weather.GetIpLookupTests","response_isJson"
"When 200/201, response body must not be blank","60","Alert response body is non-blank on 200/201","","Thu Aug 20 16:35:56 UTC 2026","passed","Thu Aug 20 16:35:56 UTC 2026","","SMS Alert Tests","sms.SmsAlertTests","schema_responseBodyNonBlank"
"Create a webhook then delete it — 200/204 on Pro/Scale, 403/404 on Free","93","Delete existing webhook returns 200/204","","Thu Aug 20 16:35:53 UTC 2026","passed","Thu Aug 20 16:35:53 UTC 2026","","Delete Webhook Tests","webhooks.DeleteWebhookTests","deleteWebhook_createdFirst_returns200Or204"
"hourly[0].temp plausible","322","[days=7] hourly[0].temp is plausible","","Thu Aug 20 16:36:20 UTC 2026","passed","Thu Aug 20 16:36:20 UTC 2026","","Weather Response Schema Tests","weather.WeatherSchemaTests","days7_hourly0_tempPlausible"
"units=imperial echoed","285","units=imperial is echoed","","Thu Aug 20 16:36:07 UTC 2026","passed","Thu Aug 20 16:36:07 UTC 2026","","GET /v1/weather Tests","weather.GetWeatherTests","topLevel_unitsImperialEchoed"
"When 200/201, created webhook response must contain a non-blank id","62","Created webhook id is non-blank","","Thu Aug 20 16:35:53 UTC 2026","passed","Thu Aug 20 16:35:53 UTC 2026","","Create Webhook Tests","webhooks.CreateWebhookTests","schema_created_idNonBlank"
"A well-formed but non-existent key should return 401","57","Revoked / non-existent token returns 401","","Thu Aug 20 16:35:50 UTC 2026","passed","Thu Aug 20 16:35:50 UTC 2026","","Authentication Tests","common.AuthenticationTests","revokedToken_returns401"
"Empty request body should return 400","57","Empty payload returns 400 or 403","","Thu Aug 20 16:35:57 UTC 2026","passed","Thu Aug 20 16:35:57 UTC 2026","","Send SMS Tests","sms.SendSmsTests","sendSms_emptyPayload_returns400"
"days=3 echoed","360","days=3 is echoed","","Thu Aug 20 16:36:05 UTC 2026","passed","Thu Aug 20 16:36:05 UTC 2026","","GET /v1/weather Tests","weather.GetWeatherTests","topLevel_daysEchoed"
"When 200, 'latencyMs' must be a non-negative integer","82","latencyMs is non-negative on 200","","Thu Aug 20 16:35:55 UTC 2026","passed","Thu Aug 20 16:35:55 UTC 2026","","SMS Gateway Health Tests","sms.SmsHealthTests","schema_latencyMs_nonNegative"
"A valid weather request must return 200, confirming quota is not exhausted","429","Valid request returns 200 (quota not exhausted)","","Thu Aug 20 16:35:49 UTC 2026","passed","Thu Aug 20 16:35:49 UTC 2026","","Rate Limit Tests","common.RateLimitTests","successfulRequest_returns200"
"Returns 200 on Pro/Scale, 403 on Free","134","insights returns 200 or 403","","Thu Aug 20 16:36:12 UTC 2026","passed","Thu Aug 20 16:36:12 UTC 2026","","GET /v1/insights Tests","weather.GetInsightsTests","returns200Or403"
"POST /v1/webhooks with revoked token should return 401 per spec.","58","Create webhook with revoked token returns 401","","Thu Aug 20 16:35:54 UTC 2026","passed","Thu Aug 20 16:35:54 UTC 2026","","Create Webhook Tests","webhooks.CreateWebhookTests","createWebhook_revokedToken_returns401"
"When 200, response must contain a 'webhooks' array","17","webhooks array is present on 200","","Thu Aug 20 16:35:54 UTC 2026","passed","Thu Aug 20 16:35:54 UTC 2026","","Get Webhooks Tests","webhooks.GetWebhookTests","schema_webhooksArrayPresent"
"GET /v1/sms/stats with revoked token should return 401 per spec.","17","Revoked token returns 401","","Thu Aug 20 16:35:58 UTC 2026","passed","Thu Aug 20 16:35:58 UTC 2026","","SMS Stats Tests","sms.SmsStatsTests","smsStats_revokedToken_returns401"
"503 is only expected when the SMS gateway database is unreachable","14","SMS health does not return 503 under normal conditions","","Thu Aug 20 16:35:55 UTC 2026","passed","Thu Aug 20 16:35:55 UTC 2026","","SMS Gateway Health Tests","sms.SmsHealthTests","smsHealth_doesNotReturn503"
"When 200 and list is non-empty, webhooks[0].url must be non-blank","15","webhooks[0].url is non-blank on 200","","Thu Aug 20 16:35:54 UTC 2026","passed","Thu Aug 20 16:35:54 UTC 2026","","Get Webhooks Tests","webhooks.GetWebhookTests","schema_firstWebhook_urlNonBlank"
"POST /v1/sms/send without auth should return 401 per spec.","59","No auth returns 401","","Thu Aug 20 16:35:57 UTC 2026","passed","Thu Aug 20 16:35:57 UTC 2026","","Send SMS Tests","sms.SendSmsTests","sendSms_noAuth_returns401"
"GET /v1/trees/quota without auth should return 401 per spec.","13","Tree quota without auth returns 401","","Thu Aug 20 16:36:02 UTC 2026","passed","Thu Aug 20 16:36:02 UTC 2026","","Tree Quota Tests","forestry.TreeQuotaTests","treeQuota_noAuth_returns401"
"400 response must contain a non-empty JSON body describing the error","213","400 response body is non-empty JSON","","Thu Aug 20 16:35:47 UTC 2026","passed","Thu Aug 20 16:35:48 UTC 2026","","Error Handling Tests","common.ErrorHandlingTests","badRequest_responseBodyNotEmpty"
"Revoked token returns 401","86","Revoked token returns 401","","Thu Aug 20 16:36:05 UTC 2026","passed","Thu Aug 20 16:36:05 UTC 2026","","GET /v1/weather Tests","weather.GetWeatherTests","revokedToken_returns401"
"units=metric echoed","281","units=metric is echoed","","Thu Aug 20 16:36:07 UTC 2026","passed","Thu Aug 20 16:36:07 UTC 2026","","GET /v1/weather Tests","weather.GetWeatherTests","topLevel_unitsMetricEchoed"
"Invalid coords return 400 or 502","258","Invalid coordinates return 400 or 502","","Thu Aug 20 16:36:11 UTC 2026","passed","Thu Aug 20 16:36:11 UTC 2026","","GET /v1/weather Tests","weather.GetWeatherTests","invalidCoordinates_returns400Or502"
"Response Content-Type must be application/json","68","Response is application/json","","Thu Aug 20 16:35:55 UTC 2026","passed","Thu Aug 20 16:35:55 UTC 2026","","Farmer Registration Tests","sms.RegistrationTests","bometRegister_isJson"
"When 200, delivery stats must include a non-negative 'delivered' count","15","delivery.delivered is non-negative on 200","","Thu Aug 20 16:35:58 UTC 2026","passed","Thu Aug 20 16:35:58 UTC 2026","","SMS Stats Tests","sms.SmsStatsTests","schema_delivery_deliveredNonNegative"
"Valid IP returns 200 on Pro/Scale, 403 on Free","159","ip-lookup with valid IP returns 200 or 403","","Thu Aug 20 16:36:13 UTC 2026","passed","Thu Aug 20 16:36:13 UTC 2026","","GET /v1/ip-lookup Tests","weather.GetIpLookupTests","validIp_returns200Or403"
"Non E.164 phone number in 'phone' should return 400","69","Invalid phone returns 400 or 403","","Thu Aug 20 16:35:55 UTC 2026","passed","Thu Aug 20 16:35:55 UTC 2026","","Farmer Registration Tests","sms.RegistrationTests","bometRegister_invalidPhone_returns400"
"Omitting the required 'name' field should return 400","57","Missing 'name' returns 400 or 403","","Thu Aug 20 16:35:55 UTC 2026","passed","Thu Aug 20 16:35:56 UTC 2026","","Farmer Registration Tests","sms.RegistrationTests","bometRegister_missingName_returns400"
"Response body must not be blank","255","Forecast alias body is non-empty","","Thu Aug 20 16:36:12 UTC 2026","passed","Thu Aug 20 16:36:12 UTC 2026","","GET /v1/forecast Tests","weather.GetForecastTests","bodyNotEmpty"
"Response echoes lon","303","lon is echoed","","Thu Aug 20 16:36:05 UTC 2026","passed","Thu Aug 20 16:36:05 UTC 2026","","GET /v1/weather Tests","weather.GetWeatherTests","topLevel_lonEchoed"
"unlimited must be a boolean (true or false)","212","unlimited is a boolean","","Thu Aug 20 16:36:01 UTC 2026","passed","Thu Aug 20 16:36:01 UTC 2026","","Usage & Quota Tests","account.UsageTests","schema_unlimited_isBoolean"
"403 response must contain a non-empty JSON body describing the plan restriction","207","403 response body is non-empty JSON","","Thu Aug 20 16:35:48 UTC 2026","passed","Thu Aug 20 16:35:48 UTC 2026","","Error Handling Tests","common.ErrorHandlingTests","forbidden_responseBodyNotEmpty"
"POST /v1/sms/bomet/register with all fields returns 200/201 on Scale+approved, 403/404 otherwise","50","Full payload returns 200/201 or 403","","Thu Aug 20 16:35:55 UTC 2026","passed","Thu Aug 20 16:35:55 UTC 2026","","Farmer Registration Tests","sms.RegistrationTests","bometRegister_fullPayload_returns201Or403"
"lon echoed within 0.001°","280","[days=3] lon = 36.8219","","Thu Aug 20 16:36:21 UTC 2026","passed","Thu Aug 20 16:36:22 UTC 2026","","Weather Response Schema Tests","weather.WeatherSchemaTests","days3_lon_isEchoed"
"Tree quota response must be application/json","75","Tree quota response is JSON","","Thu Aug 20 16:36:02 UTC 2026","passed","Thu Aug 20 16:36:02 UTC 2026","","Tree Quota Tests","forestry.TreeQuotaTests","treeQuota_isJson"
"Malformed IP returns 400 or 403","135","ip-lookup with invalid IP returns 400 or 403","","Thu Aug 20 16:36:14 UTC 2026","passed","Thu Aug 20 16:36:14 UTC 2026","","GET /v1/ip-lookup Tests","weather.GetIpLookupTests","invalidIp_returns400Or403"
"POST /v1/trees/analyze — 200 on Pro/Scale, 403 on Free, 400 if server rejects the image","75","Analyze trees returns 200, 400 or 403","","Thu Aug 20 16:36:02 UTC 2026","passed","Thu Aug 20 16:36:02 UTC 2026","","Count Trees / Analyze Tests","forestry.CountTreesTests","analyzeTrees_returns200Or403"
"Non E.164 phone number in 'to' should return 400","58","Invalid 'to' returns 400 or 403","","Thu Aug 20 16:35:57 UTC 2026","passed","Thu Aug 20 16:35:57 UTC 2026","","Send SMS Tests","sms.SendSmsTests","sendSms_invalidTo_returns400"
"windspeed must be non-negative","239","[days=7] current.windspeed >= 0","","Thu Aug 20 16:36:17 UTC 2026","passed","Thu Aug 20 16:36:17 UTC 2026","","Weather Response Schema Tests","weather.WeatherSchemaTests","days7_current_windspeedNonNegative"
"all 3 daily dates non-blank","303","[days=3] all daily entries have date","","Thu Aug 20 16:36:14 UTC 2026","passed","Thu Aug 20 16:36:14 UTC 2026","","Weather Response Schema Tests","weather.WeatherSchemaTests","days3_allDailyEntries_haveDate"
"POST /v1/sms/send with type and pilotTag returns 200/201 or 403","64","Full payload with pilotTag returns 200/201 or 403","","Thu Aug 20 16:35:57 UTC 2026","passed","Thu Aug 20 16:35:57 UTC 2026","","Send SMS Tests","sms.SendSmsTests","sendSms_fullPayload_returns201Or403"
"units must be metric","291","[days=3] units = metric","","Thu Aug 20 16:36:17 UTC 2026","passed","Thu Aug 20 16:36:18 UTC 2026","","Weather Response Schema Tests","weather.WeatherSchemaTests","days3_units_isMetric"
"temp_max > temp_min","298","[days=3] daily[0].temp_max > temp_min","","Thu Aug 20 16:36:19 UTC 2026","passed","Thu Aug 20 16:36:20 UTC 2026","","Weather Response Schema Tests","weather.WeatherSchemaTests","days3_daily0_tempMaxGreaterThanMin"
"alertType=extreme_wind returns 200/201 or 403","49","alertType=extreme_wind returns 200/201 or 403","","Thu Aug 20 16:35:56 UTC 2026","passed","Thu Aug 20 16:35:56 UTC 2026","","SMS Alert Tests","sms.SmsAlertTests","smsAlert_extremeWind_returns201Or403"
"GET /v1/sms/stats must not return a server error","14","SMS stats does not return 5xx","","Thu Aug 20 16:35:58 UTC 2026","passed","Thu Aug 20 16:35:58 UTC 2026","","SMS Stats Tests","sms.SmsStatsTests","smsStats_no5xx"
"401 response must contain a non-empty JSON body describing the error","99","401 response body is non-empty JSON","","Thu Aug 20 16:35:45 UTC 2026","passed","Thu Aug 20 16:35:45 UTC 2026","","Error Handling Tests","common.ErrorHandlingTests","unauthorized_responseBodyNotEmpty"
"days=1 returns 1-entry daily","278","days=1 returns 1-entry daily array","","Thu Aug 20 16:36:09 UTC 2026","passed","Thu Aug 20 16:36:10 UTC 2026","","GET /v1/weather Tests","weather.GetWeatherTests","daysMin_singleDailyEntry"
"POST /v1/webhooks without 'triggers' should return 400 or 403","89","Missing triggers returns 400 or 403","","Thu Aug 20 16:35:54 UTC 2026","passed","Thu Aug 20 16:35:54 UTC 2026","","Create Webhook Tests","webhooks.CreateWebhookTests","createWebhook_missingTriggers_returns400"
"When 200/201, response must echo back the requested url","62","Created webhook echoes url","","Thu Aug 20 16:35:54 UTC 2026","passed","Thu Aug 20 16:35:54 UTC 2026","","Create Webhook Tests","webhooks.CreateWebhookTests","schema_created_urlEchoed"
"DEL /v1/webhooks/:id with revoked token should return 401 per spec.","93","Delete webhook with revoked token returns 401","","Thu Aug 20 16:35:53 UTC 2026","passed","Thu Aug 20 16:35:53 UTC 2026","","Delete Webhook Tests","webhooks.DeleteWebhookTests","deleteWebhook_revokedToken_returns401"
"When 200, delivery stats must include a non-negative 'failed' count","16","delivery.failed is non-negative on 200","","Thu Aug 20 16:35:58 UTC 2026","passed","Thu Aug 20 16:35:58 UTC 2026","","SMS Stats Tests","sms.SmsStatsTests","schema_delivery_failedNonNegative"
"GET /v1/webhooks returns 200 on Pro/Scale, 403 on Free","14","List webhooks returns 200 or 403","","Thu Aug 20 16:35:54 UTC 2026","passed","Thu Aug 20 16:35:54 UTC 2026","","Get Webhooks Tests","webhooks.GetWebhookTests","listWebhooks_returns200Or403"
"geo.timezone must be non-blank IANA string","368","geo.timezone is non-blank","","Thu Aug 20 16:36:25 UTC 2026","passed","Thu Aug 20 16:36:25 UTC 2026","","GET /v1/weather-geo Tests","weather.GetWeatherGeoTests","geo_timezoneNonBlank"
"Missing lon returns 400","213","Missing lon returns 400","","Thu Aug 20 16:36:03 UTC 2026","passed","Thu Aug 20 16:36:03 UTC 2026","","GET /v1/weather Tests","weather.GetWeatherTests","missingLon_returns400"
"GET /v1/webhooks without auth should return 401 per spec.","15","List webhooks without auth returns 401","","Thu Aug 20 16:35:54 UTC 2026","passed","Thu Aug 20 16:35:54 UTC 2026","","Get Webhooks Tests","webhooks.GetWebhookTests","listWebhooks_noAuth_returns401"
"When 200, 'gateway' must be a non-blank status string (e.g. 'ok')","14","gateway field is non-blank on 200","","Thu Aug 20 16:35:55 UTC 2026","passed","Thu Aug 20 16:35:55 UTC 2026","","SMS Gateway Health Tests","sms.SmsHealthTests","schema_gateway_nonBlank"
"GET /v1/sms/health with revoked token should return 401 per spec.","15","Revoked token returns 401","","Thu Aug 20 16:35:55 UTC 2026","passed","Thu Aug 20 16:35:55 UTC 2026","","SMS Gateway Health Tests","sms.SmsHealthTests","smsHealth_revokedToken_returns401"
"is_day is 0 or 1","299","[days=7] current.is_day is 0 or 1","","Thu Aug 20 16:36:21 UTC 2026","passed","Thu Aug 20 16:36:21 UTC 2026","","Weather Response Schema Tests","weather.WeatherSchemaTests","days7_current_isDayBinary"
"On a free plan the limit must be 1000 requests per month","218","Free plan limit = 1000","","Thu Aug 20 16:36:00 UTC 2026","passed","Thu Aug 20 16:36:00 UTC 2026","","Usage & Quota Tests","account.UsageTests","logic_freePlanLimitIs1000"
"POST /v1/sms/alert with alertType=rain returns 200/201 or 403/404","54","Rain alert returns 200/201 or 403","","Thu Aug 20 16:35:56 UTC 2026","passed","Thu Aug 20 16:35:56 UTC 2026","","SMS Alert Tests","sms.SmsAlertTests","smsAlert_rain_returns201Or403"
"Response must be non-empty application/json","298","Current weather is non-empty JSON","","Thu Aug 20 16:36:28 UTC 2026","passed","Thu Aug 20 16:36:28 UTC 2026","","GET /v1/current Tests","weather.GetCurrentTests","isNonEmptyJson"
"When 200, response must contain a non-null geo object","133","geo object is present on 200","","Thu Aug 20 16:36:13 UTC 2026","passed","Thu Aug 20 16:36:13 UTC 2026","","GET /v1/ip-lookup Tests","weather.GetIpLookupTests","schema_geoPresent"
"GET /v1/usage must not return a server error","185","Valid request does not return 5xx","","Thu Aug 20 16:36:01 UTC 2026","passed","Thu Aug 20 16:36:01 UTC 2026","","Usage & Quota Tests","account.UsageTests","usage_no5xx"
"POST /v1/trees/analyze with no image part should return 400 per spec.","101","Analyze trees missing image returns 400 or 403","","Thu Aug 20 16:36:01 UTC 2026","passed","Thu Aug 20 16:36:01 UTC 2026","","Count Trees / Analyze Tests","forestry.CountTreesTests","analyzeTrees_missingImage_returns400"
"POST /v1/sms/send returns 200/201 on Scale+approved, 403/404 otherwise","79","Send SMS returns 200/201 or 403","","Thu Aug 20 16:35:57 UTC 2026","passed","Thu Aug 20 16:35:57 UTC 2026","","Send SMS Tests","sms.SendSmsTests","sendSms_returns201Or403"
"POST /v1/webhooks without auth should return 401 per spec.","61","Create webhook without auth returns 401","","Thu Aug 20 16:35:54 UTC 2026","passed","Thu Aug 20 16:35:54 UTC 2026","","Create Webhook Tests","webhooks.CreateWebhookTests","createWebhook_noAuth_returns401"
"GET /v1/usage provides quota data as an alternative to rate-limit headers","484","Usage endpoint returns quota data (alternative to headers)","","Thu Aug 20 16:35:50 UTC 2026","passed","Thu Aug 20 16:35:50 UTC 2026","","Rate Limit Tests","common.RateLimitTests","usageEndpoint_confirmsQuota"
"GET /v1/webhooks on Free plan should return 403. Note: API returns 404 on plan-gated endpoints (observed, not documented).","77","Free plan: list webhooks returns 403","","Thu Aug 20 16:35:45 UTC 2026","passed","Thu Aug 20 16:35:45 UTC 2026","","Authorization Tests","common.AuthorizationTests","listWebhooks_freeKeyReturns403"
"When 200, 'lastCheck' must be a non-blank ISO-8601 datetime string","14","lastCheck is a non-blank ISO-8601 string on 200","","Thu Aug 20 16:35:55 UTC 2026","passed","Thu Aug 20 16:35:55 UTC 2026","","SMS Gateway Health Tests","sms.SmsHealthTests","schema_lastCheck_nonBlank"
"Omitting the required 'alertType' field should return 400","63","Missing 'alertType' returns 400 or 403","","Thu Aug 20 16:35:56 UTC 2026","passed","Thu Aug 20 16:35:56 UTC 2026","","SMS Alert Tests","sms.SmsAlertTests","smsAlert_missingAlertType_returns400"
"Response Content-Type must be application/json","168","Response is application/json","","Thu Aug 20 16:35:57 UTC 2026","passed","Thu Aug 20 16:35:57 UTC 2026","","Send SMS Tests","sms.SendSmsTests","sendSms_isJson"
"Usage response content-type must be application/json","288","Usage response is application/json","","Thu Aug 20 16:36:00 UTC 2026","passed","Thu Aug 20 16:36:00 UTC 2026","","Usage & Quota Tests","account.UsageTests","usage_isJson"
"Response body must not be blank","292","Response body is non-empty","","Thu Aug 20 16:36:04 UTC 2026","passed","Thu Aug 20 16:36:04 UTC 2026","","GET /v1/weather Tests","weather.GetWeatherTests","response_bodyNotEmpty"
"Omitting both lat and lon must return 400 Bad Request","157","Missing lat and lon returns 400","","Thu Aug 20 16:35:51 UTC 2026","passed","Thu Aug 20 16:35:51 UTC 2026","","Input Validation Tests","common.ValidationTests","missingLatAndLon_returns400"
"GET /v1/sms/stats returns 200 on Scale+approved, 403/404 otherwise","15","SMS stats returns 200 or 403","","Thu Aug 20 16:35:58 UTC 2026","passed","Thu Aug 20 16:35:58 UTC 2026","","SMS Stats Tests","sms.SmsStatsTests","smsStats_returns200Or403"
"Coordinates far outside valid range return 400 or 502 (upstream provider error)","286","Invalid lat/lon values return 400 or 502","","Thu Aug 20 16:35:53 UTC 2026","passed","Thu Aug 20 16:35:53 UTC 2026","","Input Validation Tests","common.ValidationTests","invalidCoordinates_returns400Or502"
"POST /v1/sms/alert with optional data context returns 200/201 or 403","72","Alert with data object returns 200/201 or 403","","Thu Aug 20 16:35:56 UTC 2026","passed","Thu Aug 20 16:35:56 UTC 2026","","SMS Alert Tests","sms.SmsAlertTests","smsAlert_withData_returns201Or403"
"When 200, geo.country must be a 2-letter ISO country code","104","geo.country is 2-letter code on 200","","Thu Aug 20 16:36:12 UTC 2026","passed","Thu Aug 20 16:36:13 UTC 2026","","GET /v1/ip-lookup Tests","weather.GetIpLookupTests","schema_geoCountryTwoLetters"
"GET /v1/usage with valid key returns 200","209","Usage endpoint returns 200","","Thu Aug 20 16:35:58 UTC 2026","passed","Thu Aug 20 16:35:59 UTC 2026","","Usage & Quota Tests","account.UsageTests","usage_returns200"
"GET /v1/webhooks response must be application/json","14","List webhooks response is JSON","","Thu Aug 20 16:35:55 UTC 2026","passed","Thu Aug 20 16:35:55 UTC 2026","","Get Webhooks Tests","webhooks.GetWebhookTests","listWebhooks_isJson"
"When 200 and list is non-empty, webhooks[0].triggers must be a non-null array","16","webhooks[0].triggers is a non-null array on 200","","Thu Aug 20 16:35:54 UTC 2026","passed","Thu Aug 20 16:35:54 UTC 2026","","Get Webhooks Tests","webhooks.GetWebhookTests","schema_firstWebhook_triggersIsArray"
"Response contains a non-null geo object","294","geo object is present","","Thu Aug 20 16:36:26 UTC 2026","passed","Thu Aug 20 16:36:26 UTC 2026","","GET /v1/weather-geo Tests","weather.GetWeatherGeoTests","geo_objectPresent"
"weathercode >= 0","280","[days=7] current.weathercode >= 0","","Thu Aug 20 16:36:15 UTC 2026","passed","Thu Aug 20 16:36:16 UTC 2026","","Weather Response Schema Tests","weather.WeatherSchemaTests","days7_current_weathercodeNonNegative"
"limit must be a positive integer representing the plan monthly cap","311","limit is a positive integer","","Thu Aug 20 16:35:58 UTC 2026","passed","Thu Aug 20 16:35:58 UTC 2026","","Usage & Quota Tests","account.UsageTests","schema_limit_isPositive"
